prompt,completion
安庆新雪莲生物科技股份有限公司的证券代码是？,838541
安庆新雪莲生物科技股份有限公司的法人代表？,王结文
安庆新雪莲生物科技股份有限公司的中文简称？,新 雪 莲
上海现代环境工程技术股份有限公司的股东有哪些?,姜妙根、张伟骏、蔡伟平、姜超、周平
上海现代环境工程技术股份有限公司的公司地址？,上海市青浦区徐泾镇徐旺路18号
上海现代环境工程技术股份有限公司的证券代码是？,430669
上海现代环境工程技术股份有限公司的法人代表？,姜超
上海现代环境工程技术股份有限公司的中文简称？,现代环境
神州英才企业管理顾问(北京)股份有限公司的股东有哪些?,锡恩英才投资(北京)有限公司、姜桐、姜汝洪、范亚峻、徐艳来
神州英才企业管理顾问(北京)股份有限公司的公司地址？,北京市东城区崇文门外大街16号国瑞大厦10层1018室
神州英才企业管理顾问(北京)股份有限公司的证券代码是？,833161
神州英才企业管理顾问(北京)股份有限公司的法人代表？,姜汝洪
神州英才企业管理顾问(北京)股份有限公司的中文简称？,神州英才
天津百诚阀门制造股份有限公司的股东有哪些?,王建军、李桂云、张娟、王金利
天津百诚阀门制造股份有限公司的公司地址？,天津市武清区王庆坨镇庆源道16号
天津百诚阀门制造股份有限公司的证券代码是？,873282
天津百诚阀门制造股份有限公司的法人代表？,王建军
天津百诚阀门制造股份有限公司的中文简称？,百诚阀门
广东逸舒制药股份有限公司的股东有哪些?,广东众生药业股份有限公司、广州科技金融创新投资控股有限公司、黄庆雄、周广萍
广东逸舒制药股份有限公司的公司地址？,肇庆市鼎湖区城区工业区
广东逸舒制药股份有限公司的证券代码是？,832796
广东逸舒制药股份有限公司的法人代表？,黄庆文
广东逸舒制药股份有限公司的中文简称？,逸舒制药
河北恒业国际货运股份有限公司的股东有哪些?,恒业国际物流有限公司、郑志
河北恒业国际货运股份有限公司的公司地址？,河北省唐山市曹妃甸工业区中日生态工业区
河北恒业国际货运股份有限公司的证券代码是？,872698
河北恒业国际货运股份有限公司的法人代表？,郑志
河北恒业国际货运股份有限公司的中文简称？,恒业国际
广州市天奕信息技术股份有限公司的股东有哪些?,广州市丰景投资管理咨询合伙企业(有限合伙)、聂穗、王忱、李小挥
广州市天奕信息技术股份有限公司的公司地址？,广东省广州市番禺区东环街番禺大道北555号天安总部中心15号楼801、802
广州市天奕信息技术股份有限公司的证券代码是？,871411
广州市天奕信息技术股份有限公司的法人代表？,王忱
广州市天奕信息技术股份有限公司的中文简称？,天奕股份
昆明安泰得软件股份有限公司的股东有哪些?,中泰证券股份有限公司做市专用证券账户、国信证券股份有限公司做市专用证券账户、陈玮、陈绍林、谢如新、崔华勇、张自震、张芦川、付泽英、平学兵
昆明安泰得软件股份有限公司的公司地址？,云南省昆明市高新区科园路99号鼎易商务中心B座13楼
昆明安泰得软件股份有限公司的证券代码是？,430472
昆明安泰得软件股份有限公司的法人代表？,张自震
昆明安泰得软件股份有限公司的中文简称？,安 泰 得
上海名传信息技术股份有限公司的股东有哪些?,永柏联投资本控股有限公司、上海芬赢贸易有限公司、司国春
上海名传信息技术股份有限公司的公司地址？,上海市浦东新区浦东南路360号3楼321室
上海名传信息技术股份有限公司的证券代码是？,834657
上海名传信息技术股份有限公司的法人代表？,Xu Jun
上海名传信息技术股份有限公司的中文简称？,名传股份
江苏正济药业股份有限公司的股东有哪些?,淮安正诚股权投资中心(有限合伙)、叶援赞、徐俊、季擎、叶卫真
江苏正济药业股份有限公司的公司地址？,江苏省淮安市洪泽区巢湖东路8号
江苏正济药业股份有限公司的证券代码是？,834804
江苏正济药业股份有限公司的法人代表？,徐俊
江苏正济药业股份有限公司的中文简称？,正济药业
中能服能源科技股份有限公司的股东有哪些?,陈正华、付秋涛、周世武、陈军奇、周密
中能服能源科技股份有限公司的公司地址？,北京市石景山区金融街(长安)中心1号楼13层
中能服能源科技股份有限公司的证券代码是？,834848
中能服能源科技股份有限公司的法人代表？,周世武
中能服能源科技股份有限公司的中文简称？,中 能 服
明和科技(唐山)股份有限公司的股东有哪些?,宁秀英、张明奇
明和科技(唐山)股份有限公司的公司地址？,河北省唐山市芦台经济开发区农业总公司三社区
明和科技(唐山)股份有限公司的证券代码是？,872553
明和科技(唐山)股份有限公司的法人代表？,张明奇
明和科技(唐山)股份有限公司的中文简称？,明和股份
上海储融检测技术股份有限公司的股东有哪些?,上海臻成投资中心(有限合伙)、上海佳来投资中心(有限合伙)、陈洪道、李洪梅
上海储融检测技术股份有限公司的公司地址？,上海市嘉定区汇善路685号1幢1-2层
上海储融检测技术股份有限公司的证券代码是？,836944
上海储融检测技术股份有限公司的法人代表？,陈洪道
上海储融检测技术股份有限公司的中文简称？,储融检测
河南未来再生能源股份有限公司的股东有哪些?,王小梅、谷未来
河南未来再生能源股份有限公司的公司地址？,河南省驻马店市新蔡县砖店镇大宋庄村委鲤鱼沟西岸
河南未来再生能源股份有限公司的证券代码是？,870215
河南未来再生能源股份有限公司的法人代表？,谷未来
河南未来再生能源股份有限公司的中文简称？,未来能源
河南汉宏智能科技股份有限公司的股东有哪些?,河南浩华传媒有限公司、闫鹏洋、薛建旺、姜明、底伟
河南汉宏智能科技股份有限公司的公司地址？,郑州高新区长椿路11号C6号4楼401
河南汉宏智能科技股份有限公司的证券代码是？,832832
河南汉宏智能科技股份有限公司的法人代表？,闫鹏洋
河南汉宏智能科技股份有限公司的中文简称？,汉宏智能
大汉科技股份有限公司的股东有哪些?,济南共创商务咨询合伙企业(有限合伙)、康与宙、康与忠、李咸蔚
大汉科技股份有限公司的公司地址？,章丘市明水经济开发区赭山工业园
大汉科技股份有限公司的证券代码是？,834353
大汉科技股份有限公司的法人代表？,康与宙
大汉科技股份有限公司的中文简称？,大汉股份
青岛新之环保科技股份有限公司的股东有哪些?,安徽双赢再生资源集团有限公司、国道资产管理(上海)有限公司、陆增、龚杰卡、张海刚
青岛新之环保科技股份有限公司的公司地址？,青岛胶州市里岔镇里岔工业园
青岛新之环保科技股份有限公司的证券代码是？,836780
青岛新之环保科技股份有限公司的法人代表？,龚杰卡
青岛新之环保科技股份有限公司的中文简称？,新之科技
南京西格玛医学技术股份有限公司的股东有哪些?,刘金波、徐路波、苟军升、周卫华、万爱华
南京西格玛医学技术股份有限公司的公司地址？,江苏省南京市麒麟科技创新园智汇路300号
南京西格玛医学技术股份有限公司的证券代码是？,S02948
南京西格玛医学技术股份有限公司的法人代表？,刘金波
南京西格玛医学技术股份有限公司的中文简称？,西格医学
江苏华佳丝绸股份有限公司的股东有哪些?,苏州旺春德企业咨询管理有限公司、东吴创新资本管理有限责任公司、俞金键、王春花、俞水荣
江苏华佳丝绸股份有限公司的公司地址？,苏州市吴江区盛泽镇北环路1988号
江苏华佳丝绸股份有限公司的证券代码是？,836823
江苏华佳丝绸股份有限公司的法人代表？,俞金键
江苏华佳丝绸股份有限公司的中文简称？,华佳丝绸
广西锦绣前程人力资源股份有限公司的股东有哪些?,深圳市锦绣前程人才服务集团有限公司、申万宏源证券有限公司做市专用证券账户、广西金种子投资管理中心(有限合伙)、姚军、周文皓、沈方利、马贵林、韦波、莫翠林、周晓霞
广西锦绣前程人力资源股份有限公司的公司地址？,南宁市朱瑾路16号金菲豪园4#、5#栋
广西锦绣前程人力资源股份有限公司的证券代码是？,833486
广西锦绣前程人力资源股份有限公司的法人代表？,周文皓
广西锦绣前程人力资源股份有限公司的中文简称？,前程人力
山东中阳碳素股份有限公司的股东有哪些?,联储证券有限责任公司、薄红影、薄其仁、马汝杰、於汉书
山东中阳碳素股份有限公司的公司地址？,山东省利津县金凤凰大厦23楼
山东中阳碳素股份有限公司的证券代码是？,835181
山东中阳碳素股份有限公司的法人代表？,薄红影
山东中阳碳素股份有限公司的中文简称？,中阳股份
北京宏伟超达科技股份有限公司的股东有哪些?,钟黄慷、石伟胜、黄卿龙、罗尚鹏
北京宏伟超达科技股份有限公司的公司地址？,北京市通州区永乐经济开发区恒业八街6号院8栋802
北京宏伟超达科技股份有限公司的证券代码是？,871346
北京宏伟超达科技股份有限公司的法人代表？,石伟胜
北京宏伟超达科技股份有限公司的中文简称？,宏伟超达
上海敬众科技股份有限公司的股东有哪些?,上海旗计智能科技有限公司、上海敬众数据处理有限公司、上海聚数投资合伙企业(有限合伙)、彭仲达、王刚、瞿天锋、李海源、张伟荣
上海敬众科技股份有限公司的公司地址？,上海市徐汇区田林路200号A1栋502室
上海敬众科技股份有限公司的证券代码是？,837045
上海敬众科技股份有限公司的法人代表？,刘涛
上海敬众科技股份有限公司的中文简称？,敬众科技
济南海能仪器股份有限公司的股东有哪些?,高新投资发展有限公司、东证周德(上海)投资中心(有限合伙)、吕明杰、王志刚、聂松林
济南海能仪器股份有限公司的公司地址？,山东省济南市高新区经十路7000号汉峪金谷A3地块1号楼第四层
济南海能仪器股份有限公司的证券代码是？,430476
济南海能仪器股份有限公司的法人代表？,王志刚
济南海能仪器股份有限公司的中文简称？,海能仪器
南京华天科技发展股份有限公司的股东有哪些?,丛涛、朱宁、顾雷、曾明敏、俞晓雪
南京华天科技发展股份有限公司的公司地址？,南京市建邺区庐山路158号嘉业国际城4栋503室
南京华天科技发展股份有限公司的证券代码是？,834658
南京华天科技发展股份有限公司的法人代表？,朱宁
南京华天科技发展股份有限公司的中文简称？,华天发展
天津市双马香精香料股份有限公司的股东有哪些?,天津市飞马科技有限公司、天津市天适企业管理咨询合伙企业(有限合伙)、杜美爱、冯志洁
天津市双马香精香料股份有限公司的公司地址？,天津市津南经济开发区(西区)赤龙街12号
天津市双马香精香料股份有限公司的证券代码是？,872227
天津市双马香精香料股份有限公司的法人代表？,冯志洁
天津市双马香精香料股份有限公司的中文简称？,双马股份
安徽源和堂药业股份有限公司的股东有哪些?,浙江康威胜高温线缆有限公司、西藏善阵投资管理有限公司、吉林省国家生物产业创业投资有限责任公司、上海国药股权投资基金合伙企业(有限合伙)、昆山市森迪信息科技发展有限公司、广州立创五号实业投资合伙企业(有限合伙)、上海正海国鑫源投资中心(有限合伙)、杭州龙庆地信股权投资合伙企业(有限合伙)、袁学才、梁凤梅
安徽源和堂药业股份有限公司的公司地址？,安徽省涡阳县义门镇药材街1号
安徽源和堂药业股份有限公司的证券代码是？,833379
安徽源和堂药业股份有限公司的法人代表？,袁学才
安徽源和堂药业股份有限公司的中文简称？,源和药业
北京丰瑞祥信息技术股份有限公司的股东有哪些?,常州信辉创业投资有限公司、深圳前海磁石区块链产业发展研究中心有限公司、宁波青檬股权投资合伙企业(有限合伙)、北京丰瑞祥投资管理中心(有限合伙)、邹锋
北京丰瑞祥信息技术股份有限公司的公司地址？,北京市海淀区东北旺西路8号中关村软件园8号楼一层105
北京丰瑞祥信息技术股份有限公司的证券代码是？,839084
北京丰瑞祥信息技术股份有限公司的法人代表？,邹锋
北京丰瑞祥信息技术股份有限公司的中文简称？,丰 瑞 祥
山东金山地质勘探股份有限公司的股东有哪些?,刘金山、刘晟辰、刘少山
山东金山地质勘探股份有限公司的公司地址？,烟台招远市金城路117号金山地质大楼
山东金山地质勘探股份有限公司的证券代码是？,833628
山东金山地质勘探股份有限公司的法人代表？,刘金山
山东金山地质勘探股份有限公司的中文简称？,金山地质
上海硕恩网络科技股份有限公司的股东有哪些?,上海前照企业管理咨询有限公司、上海临澈网络科技合伙企业(有限合伙)、李彩云
上海硕恩网络科技股份有限公司的公司地址？,上海市黄浦区成都北路500号峻岭广场306室
上海硕恩网络科技股份有限公司的证券代码是？,872958
上海硕恩网络科技股份有限公司的法人代表？,李仪凡
上海硕恩网络科技股份有限公司的中文简称？,硕恩网络
陕西佰美基因股份有限公司的股东有哪些?,新疆佰美股权投资有限合伙企业、新疆宜正股权投资有限合伙企业
陕西佰美基因股份有限公司的公司地址？,陕西省西安市西咸新区沣东新城协同创新港1号楼
陕西佰美基因股份有限公司的证券代码是？,838600
陕西佰美基因股份有限公司的法人代表？,陈群
陕西佰美基因股份有限公司的中文简称？,佰美基因
海普欧泰克液压设备(北京)股份有限公司的股东有哪些?,黄维坚、耿术国、陶茂友、吴广林、孙英杰
海普欧泰克液压设备(北京)股份有限公司的公司地址？,北京市顺义区赵全营镇西陈各庄村昌金路10号
海普欧泰克液压设备(北京)股份有限公司的证券代码是？,S02951
海普欧泰克液压设备(北京)股份有限公司的法人代表？,孙英杰
海普欧泰克液压设备(北京)股份有限公司的中文简称？,海普股份
陕西华星科技股份有限公司的股东有哪些?,陕西华星联创资产管理合伙企业(有限合伙)、陕西华星电子集团有限公司
陕西华星科技股份有限公司的公司地址？,陕西省咸阳市渭城区文汇东路16号
陕西华星科技股份有限公司的证券代码是？,873306
陕西华星科技股份有限公司的法人代表？,黎明
陕西华星科技股份有限公司的中文简称？,华星科技
联力环保新能源股份有限公司的股东有哪些?,上海金氏投资发展有限公司、金胜铭、陈凯、章东杰、孙建明、康狄华、张健、张志远
联力环保新能源股份有限公司的公司地址？,江苏省淮安市经济技术开发区盐化工园区陆集路8号
联力环保新能源股份有限公司的证券代码是？,870648
联力环保新能源股份有限公司的法人代表？,金胜铭
联力环保新能源股份有限公司的中文简称？,联力环保
合肥高科科技股份有限公司的股东有哪些?,国元证券股份有限公司、合肥群创投资管理(有限合伙)、南京金点智投投资有限公司、华安证券股份有限公司、合肥智然投资管理(有限合伙)、胡翔、熊锐、熊群、陈茵、王跃峰
合肥高科科技股份有限公司的公司地址？,安徽省合肥市高新区柏堰科技园铭传路215号
合肥高科科技股份有限公司的证券代码是？,430718
合肥高科科技股份有限公司的法人代表？,胡翔
合肥高科科技股份有限公司的中文简称？,合肥高科
苏州华尔美特装饰材料股份有限公司的股东有哪些?,朱建平、桂军、余朝晖、王成、姜绪荣
苏州华尔美特装饰材料股份有限公司的公司地址？,苏州市吴江区黎里镇黎民北路1206号
苏州华尔美特装饰材料股份有限公司的证券代码是？,430593
苏州华尔美特装饰材料股份有限公司的法人代表？,桂军
苏州华尔美特装饰材料股份有限公司的中文简称？,华尔美特
广西捷佳润科技股份有限公司的股东有哪些?,云南云天化集团投资有限公司、广西标创投资有限公司、温标堂、黄文娟
广西捷佳润科技股份有限公司的公司地址？,南宁高新区创新路23号南宁中关村创新示范基地3号楼2层
广西捷佳润科技股份有限公司的证券代码是？,871433
广西捷佳润科技股份有限公司的法人代表？,温标堂
广西捷佳润科技股份有限公司的中文简称？,捷 佳 润
吉安市五峰材料股份有限公司的股东有哪些?,深圳市德谦和投资有限公司、邓桃顺、陈清洪、庄慧平、陈振钦
吉安市五峰材料股份有限公司的公司地址？,江西省吉安市永丰县恩江镇桥南工业区
吉安市五峰材料股份有限公司的证券代码是？,871883
吉安市五峰材料股份有限公司的法人代表？,江家潮
吉安市五峰材料股份有限公司的中文简称？,五峰材料
浙江裕峰环境服务股份有限公司的股东有哪些?,嘉兴凯西投资管理合伙企业(有限合伙)、祝文杰、钟益明、薄一峰、薄永仙、陈小敏、陆晓权
浙江裕峰环境服务股份有限公司的公司地址？,桐乡市振东新区景雅路765号金凤凰大厦8楼
浙江裕峰环境服务股份有限公司的证券代码是？,872014
浙江裕峰环境服务股份有限公司的法人代表？,薄一峰
浙江裕峰环境服务股份有限公司的中文简称？,裕峰环境
广州市中崎商业机器股份有限公司的股东有哪些?,温州海汇商融创业投资中心(有限合伙)、雷强、刘礼强、何晓双、石再庆
广州市中崎商业机器股份有限公司的公司地址？,广州市萝岗区云骏路17号自编五栋
广州市中崎商业机器股份有限公司的证券代码是？,833640
广州市中崎商业机器股份有限公司的法人代表？,刘礼强
广州市中崎商业机器股份有限公司的中文简称？,广州中崎
三喜农机股份有限公司的股东有哪些?,上海银纪资产管理股份有限公司-银纪8号新三板股权投资基金、泰州三喜投资管理中心(有限合伙)、黄亚红、朱雅桥、张慧
三喜农机股份有限公司的公司地址？,南京市建邺区水西门大街272号704室
三喜农机股份有限公司的证券代码是？,837826
三喜农机股份有限公司的法人代表？,黄亚红
三喜农机股份有限公司的中文简称？,三喜农机
广东辰奕智能科技股份有限公司的股东有哪些?,惠州市众创投资管理合伙企业(有限合伙)、惠州市辰奕投资管理企业(有限合伙)、惠州市盛思投资管理企业(有限合伙)、胡卫清、余翀
广东辰奕智能科技股份有限公司的公司地址？,广东省惠州市仲恺高新区平南工业区48号小区
广东辰奕智能科技股份有限公司的证券代码是？,870932
广东辰奕智能科技股份有限公司的法人代表？,胡卫清
广东辰奕智能科技股份有限公司的中文简称？,辰奕智能
北京神码在线教育科技股份有限公司的股东有哪些?,北京和瑞乐业投资管理有限公司、上海瑞澍投资合伙企业(有限合伙)、林晓峰、马光、张峰
北京神码在线教育科技股份有限公司的公司地址？,北京市海淀区北三环西路43号青云大厦22层
北京神码在线教育科技股份有限公司的证券代码是？,834748
北京神码在线教育科技股份有限公司的法人代表？,徐一兰
北京神码在线教育科技股份有限公司的中文简称？,ST 神 码
深圳恒泰智联股份有限公司的股东有哪些?,罗洁宏、刘少华、李浩彬、李泽鑫、邱素珍
深圳恒泰智联股份有限公司的公司地址？,深圳市南山区西丽街道中山园路1001号TCL国际E城E3栋二楼
深圳恒泰智联股份有限公司的证券代码是？,870446
深圳恒泰智联股份有限公司的法人代表？,孔祥辉
深圳恒泰智联股份有限公司的中文简称？,ST 恒 泰
欧文斯科宁(广德)岩棉制造有限公司的股东有哪些?,任伟、任辉、李烨、汪传峰、赵也军
欧文斯科宁(广德)岩棉制造有限公司的公司地址？,安徽省宣城市广德县新杭镇经济开发区广安路
欧文斯科宁(广德)岩棉制造有限公司的证券代码是？,835482
欧文斯科宁(广德)岩棉制造有限公司的法人代表？,汪传峰
欧文斯科宁(广德)岩棉制造有限公司的中文简称？,施 可 达
广东广纺检测计量技术股份有限公司的股东有哪些?,广州现代投资有限公司、广州纺织工贸企业集团有限公司
广东广纺检测计量技术股份有限公司的公司地址？,广东省广州市萝岗区科研路16号
广东广纺检测计量技术股份有限公司的证券代码是？,871505
广东广纺检测计量技术股份有限公司的法人代表？,关勇
广东广纺检测计量技术股份有限公司的中文简称？,广纺检测
嘉兴市豪能科技股份有限公司的股东有哪些?,四川荣信投资有限责任公司、嘉兴市豪优投资管理合伙企业(有限合伙)、得银有限公司、黄素朴、李琪
嘉兴市豪能科技股份有限公司的公司地址？,浙江省嘉善县罗星街道世纪大道3688号
嘉兴市豪能科技股份有限公司的证券代码是？,871091
嘉兴市豪能科技股份有限公司的法人代表？,黄素朴
嘉兴市豪能科技股份有限公司的中文简称？,豪能科技
天物科技无锡股份有限公司的股东有哪些?,天物电子商务有限责任公司、上海进叁企业管理有限公司
天物科技无锡股份有限公司的公司地址？,高新区卫星路副16号418室
天物科技无锡股份有限公司的证券代码是？,832418
天物科技无锡股份有限公司的法人代表？,叶苏青
天物科技无锡股份有限公司的中文简称？,ST 天 物
吉林省节水灌溉发展股份有限公司的股东有哪些?,吉林省水务投资集团有限公司、王红洁、钱克佳、腾继深
吉林省节水灌溉发展股份有限公司的公司地址？,吉林省长春市绿园区新城吾悦广场A座16号楼
吉林省节水灌溉发展股份有限公司的证券代码是？,835283
吉林省节水灌溉发展股份有限公司的法人代表？,韩永骞
吉林省节水灌溉发展股份有限公司的中文简称？,节水股份
西安金源电气股份有限公司的股东有哪些?,西安明威投资管理有限公司、广东盈峰投资合伙企业(有限合伙)、刘家兵、罗文莉
西安金源电气股份有限公司的公司地址？,西安市高新区毕原一路西段901号
西安金源电气股份有限公司的证券代码是？,835429
西安金源电气股份有限公司的法人代表？,刘家兵
西安金源电气股份有限公司的中文简称？,金源电气
北京东晨联创科技股份有限公司的股东有哪些?,北京创富元投资管理中心(有限合伙)、谢静、闪蕾、曲凤山、陈卫东
北京东晨联创科技股份有限公司的公司地址？,北京市海淀区学清路8号二层202室
北京东晨联创科技股份有限公司的证券代码是？,835521
北京东晨联创科技股份有限公司的法人代表？,陈卫东
北京东晨联创科技股份有限公司的中文简称？,东晨联创
绍兴市聚成新材料科技股份有限公司的股东有哪些?,金益双、杨建江、丁晓荣、赵祖昌
绍兴市聚成新材料科技股份有限公司的公司地址？,浙江省绍兴市新昌县澄潭工业区
绍兴市聚成新材料科技股份有限公司的证券代码是？,872136
绍兴市聚成新材料科技股份有限公司的法人代表？,杨建江
绍兴市聚成新材料科技股份有限公司的中文简称？,聚成新材
西安曲江智造文化旅游产业股份有限公司的股东有哪些?,西安曲江文化旅游股份有限公司、西安智本文化旅游开发有限公司、井琪、杨晓信、李东
西安曲江智造文化旅游产业股份有限公司的公司地址？,陕西省西安市曲江新区南三环以北雁塔南路以西1幢1单元10801室（第8层东北角）
西安曲江智造文化旅游产业股份有限公司的证券代码是？,873102
西安曲江智造文化旅游产业股份有限公司的法人代表？,庄莹
西安曲江智造文化旅游产业股份有限公司的中文简称？,曲江智造
陕西旅游文化产业股份有限公司的股东有哪些?,陕西旅游集团有限公司、陕西铁路陇海旅游集团有限公司、陕西旅游股份有限公司、中信夹层(上海)投资中心(有限合伙)
陕西旅游文化产业股份有限公司的公司地址？,西安市长安区航创路1号
陕西旅游文化产业股份有限公司的证券代码是？,870432
陕西旅游文化产业股份有限公司的法人代表？,靳勇
陕西旅游文化产业股份有限公司的中文简称？,陕西旅游
武汉华莱士工程项目管理股份有限公司的股东有哪些?,付志红、李红玲、姚国佳、申爱臣、汪建新
武汉华莱士工程项目管理股份有限公司的公司地址？,武汉市汉阳区龟北路特1号13号楼1楼
武汉华莱士工程项目管理股份有限公司的证券代码是？,832713
武汉华莱士工程项目管理股份有限公司的法人代表？,李红玲
武汉华莱士工程项目管理股份有限公司的中文简称？,华 莱 士
浙江云木新材股份有限公司的股东有哪些?,杨丽琼、王筱、戴一凡、梁洁
浙江云木新材股份有限公司的公司地址？,浙江省嘉兴市海盐县秦山街道秦山工业园区金杭路99号
浙江云木新材股份有限公司的证券代码是？,873190
浙江云木新材股份有限公司的法人代表？,张叶敏
浙江云木新材股份有限公司的中文简称？,云木新材
北京莱斯达电子科技股份有限公司的股东有哪些?,安信融投资管理(北京)有限公司、陈熙鹏、何凯、郭铁英、张英、李双庆、张卫卫、张卫平
北京莱斯达电子科技股份有限公司的公司地址？,北京通州区台湖镇光机电一体化产业基地光联工业区二期一号厂房二层C区
北京莱斯达电子科技股份有限公司的证券代码是？,870818
北京莱斯达电子科技股份有限公司的法人代表？,何凯
北京莱斯达电子科技股份有限公司的中文简称？,莱 斯 达
江西龙开河医药科技集团股份有限公司的股东有哪些?,共青城元上利投资管理合伙企业(有限合伙)、李蓉、朱艳桃、李伟荣
江西龙开河医药科技集团股份有限公司的公司地址？,江西省九江市浔阳区城东工业基地
江西龙开河医药科技集团股份有限公司的证券代码是？,873353
江西龙开河医药科技集团股份有限公司的法人代表？,李伟荣
江西龙开河医药科技集团股份有限公司的中文简称？,龙 开 河
北京科若思技术开发股份有限公司的股东有哪些?,刘振方、刘建中、汪华芬、张雪、郭震
北京科若思技术开发股份有限公司的公司地址？,北京市海淀区西直门北大街32号院1号楼1705A
北京科若思技术开发股份有限公司的证券代码是？,430102
北京科若思技术开发股份有限公司的法人代表？,刘振方
北京科若思技术开发股份有限公司的中文简称？,科 若 思
辽宁瑞博精密部件股份有限公司的股东有哪些?,沈阳聚力创信息咨询有限公司、蒋丽鹏、吴文景、黄国行、卓金华
辽宁瑞博精密部件股份有限公司的公司地址？,辽宁省沈阳经济技术开发区浑河十三街2号
辽宁瑞博精密部件股份有限公司的证券代码是？,872001
辽宁瑞博精密部件股份有限公司的法人代表？,蒋丽鹏
辽宁瑞博精密部件股份有限公司的中文简称？,瑞博股份
快乐沃克人力资源股份有限公司的股东有哪些?,搜才控股有限公司、张建业、张卫华、卢亚丽
快乐沃克人力资源股份有限公司的公司地址？,石家庄市裕华区槐安东路121号裕华万达广场5A写字楼4楼
快乐沃克人力资源股份有限公司的证券代码是？,831662
快乐沃克人力资源股份有限公司的法人代表？,张建业
快乐沃克人力资源股份有限公司的中文简称？,快乐沃克
广州普金计算机科技股份有限公司的股东有哪些?,广州普盛装饰设计有限公司、广州普金领先企业管理顾问有限公司、骆凤娣、邱进、邱洪林
广州普金计算机科技股份有限公司的公司地址？,广州市天河区黄埔大道西平云路163号广电平云广场A塔5层整层
广州普金计算机科技股份有限公司的证券代码是？,430486
广州普金计算机科技股份有限公司的法人代表？,邱进
广州普金计算机科技股份有限公司的中文简称？,普金科技
国科政信科技(北京)股份有限公司的股东有哪些?,上海仁贝投资管理合伙企业(有限合伙)、深圳市福鹏宏祥贰号股权投资管理中心(有限合伙)、天津福聚兴商务信息咨询合伙企业(有限合伙)、李京、高尚民
国科政信科技(北京)股份有限公司的公司地址？,北京市海淀区西三旗昌临813号A11号楼101室
国科政信科技(北京)股份有限公司的证券代码是？,834465
国科政信科技(北京)股份有限公司的法人代表？,李京
国科政信科技(北京)股份有限公司的中文简称？,国科股份
华光源海国际物流集团股份有限公司的股东有哪些?,长沙源叁企业管理咨询合伙企业(有限合伙)、湖南轩凯企业管理咨询有限公司、长沙源捌企业管理咨询合伙企业(有限合伙)、国信证券股份有限公司做市专用证券账户、长沙源玖企业管理咨询合伙企业(有限合伙)、国泰君安证券股份有限公司做市专用账户、刘慧、李卫红
华光源海国际物流集团股份有限公司的公司地址？,湖南省长沙市天心区芙蓉中路三段398号新时空大厦1910室
华光源海国际物流集团股份有限公司的证券代码是？,872351
华光源海国际物流集团股份有限公司的法人代表？,李卫红
华光源海国际物流集团股份有限公司的中文简称？,华光源海
厦门迈信智农物联科技股份有限公司的股东有哪些?,上海融帛投资管理有限公司、厦门鑫霖森投资合伙企业(有限合伙)、付茂源、梁士喆、张文应
厦门迈信智农物联科技股份有限公司的公司地址？,厦门市集美区杏林锦园西路469号
厦门迈信智农物联科技股份有限公司的证券代码是？,836872
厦门迈信智农物联科技股份有限公司的法人代表？,梁士喆
厦门迈信智农物联科技股份有限公司的中文简称？,迈信智农
江苏泰得科技股份有限公司的股东有哪些?,宁波梅山保税港区量子新科投资合伙企业(有限合伙)、泛亚信息技术江苏有限公司、吴惠荣、林冰融
江苏泰得科技股份有限公司的公司地址？,江苏省无锡市新区龙山路融智大厦D幢8楼
江苏泰得科技股份有限公司的证券代码是？,872223
江苏泰得科技股份有限公司的法人代表？,吴惠荣
江苏泰得科技股份有限公司的中文简称？,泰得科技
上海河马文化科技股份有限公司的股东有哪些?,伍正芳、徐克、于洋、朱智、何玉蓉
上海河马文化科技股份有限公司的公司地址？,中国(上海)自由贸易试验区博霞路81号
上海河马文化科技股份有限公司的证券代码是？,834559
上海河马文化科技股份有限公司的法人代表？,徐克
上海河马文化科技股份有限公司的中文简称？,河马股份
吐鲁番楼兰酒庄股份有限公司的股东有哪些?,杭州望江股份经济合作社、宁波君懿投资管理合伙企业(有限合伙)、商源集团有限公司、汪建军、吕子明
吐鲁番楼兰酒庄股份有限公司的公司地址？,新疆维吾尔自治区吐鲁番市鄯善县楼兰酒业路
吐鲁番楼兰酒庄股份有限公司的证券代码是？,870372
吐鲁番楼兰酒庄股份有限公司的法人代表？,许志良
吐鲁番楼兰酒庄股份有限公司的中文简称？,楼兰酒庄
北方跃龙科技(北京)股份有限公司的股东有哪些?,共青城跃翔投资管理合伙企业(有限合伙)、陈维忠、石晓文、徐建国、孙忠凯
北方跃龙科技(北京)股份有限公司的公司地址？,北京市海淀区上地东路1号院5号楼9层901-9007
北方跃龙科技(北京)股份有限公司的证券代码是？,430184
北方跃龙科技(北京)股份有限公司的法人代表？,陈维忠
北方跃龙科技(北京)股份有限公司的中文简称？,北方跃龙
江西晟金机械股份有限公司的股东有哪些?,陈清林、陈爱英
江西晟金机械股份有限公司的公司地址？,江西省上饶市万年县城丰收工业园区
江西晟金机械股份有限公司的证券代码是？,S02953
江西晟金机械股份有限公司的法人代表？,陈爱英
江西晟金机械股份有限公司的中文简称？,晟金股份
广州百拓共享科技应用股份有限公司的股东有哪些?,王志勇、陈丽蓉、王鹏飞
